model,device,requested_input_tokens,input_tokens,max_new_tokens,generated_tokens,ignore_eos,load_time_ms,ttft_ms,tpot_ms_per_token,generate_duration_ms,inference_duration_ms,tokenization_duration_ms,detokenization_duration_ms,throughput_tokens_per_second
phi-3.5-mini-int4,CPU,128,89,512,512,True,672.0,5124.88671875,37.79077911376953,24436.76953125,24326.232421875,0.21400000154972076,0.5875909924507141,26.46148109436035
phi-3.5-mini-int4,GPU,128,89,512,512,True,1707.0,90.48517608642578,23.85503578186035,12281.1708984375,12166.66796875,0.2280000001192093,0.6452339887619019,41.91986846923828
phi-3.5-mini-int4,NPU,128,89,512,512,True,1395.0,1046.05712890625,35.77387237548828,19328.38671875,19255.083984375,0.2240000069141388,1.5089999437332153,27.95336151123047
phi-3.5-mini-int4,"HETERO:CPU,GPU,NPU",128,89,512,512,True,1309.0,5168.05322265625,44.04063415527344,27673.68359375,27498.65625,0.23899999260902405,0.6627629995346069,22.706302642822266
phi-3.5-mini-int4,CPU,256,174,512,512,True,674.0,5948.85205078125,44.68330764770508,28782.8125,28621.392578125,0.20800000429153442,0.5999429821968079,22.379722595214844
phi-3.5-mini-int4,GPU,256,174,512,512,True,1683.0,112.768310546875,26.150667190551758,13477.0380859375,13309.5537109375,0.2280000001192093,1.0932660102844238,38.23994064331055
phi-3.5-mini-int4,NPU,256,174,512,512,True,1391.0,1032.961669921875,37.07936477661133,19981.7578125,19904.5625,0.22699999809265137,1.0190000534057617,26.969179153442383
phi-3.5-mini-int4,"HETERO:CPU,GPU,NPU",256,174,512,512,True,1298.0,5956.525390625,45.171875,29040.185546875,28873.080078125,0.2370000034570694,0.6431509852409363,22.13766860961914
phi-3.5-mini-int4,CPU,512,514,512,512,True,673.0,10345.080078125,48.232574462890625,34992.7265625,34925.15625,0.21299999952316284,0.6179320216178894,20.73287582397461
phi-3.5-mini-int4,GPU,512,514,512,512,True,1680.0,257.4844665527344,27.42464828491211,14272.53515625,14155.8046875,0.210999995470047,0.8901699781417847,36.46355056762695
phi-3.5-mini-int4,NPU,512,514,512,512,True,1397.0,1043.4990234375,37.74357604980469,20331.642578125,20265.3203125,0.24199999868869781,0.9700000286102295,26.49457550048828
phi-3.5-mini-int4,"HETERO:CPU,GPU,NPU",512,514,512,512,True,1296.0,10487.5693359375,48.289005279541016,35164.03515625,35063.421875,0.23899999260902405,0.5993980169296265,20.708648681640625
phi-3.5-mini-int4,CPU,1024,1024,512,512,True,674.0,16770.19921875,52.743038177490234,43722.6875,43652.91015625,0.23600000143051147,0.6056349873542786,18.959848403930664
phi-3.5-mini-int4,GPU,1024,1024,512,512,True,1682.0,461.13897705078125,29.079288482666016,15321.796875,15241.9873046875,0.25,0.953315019607544,34.388736724853516
phi-3.5-mini-int4,NPU,1024,1024,512,129,True,1397.0,1049.8912353515625,38.020774841308594,5917.56494140625,5892.81787109375,0.2590000033378601,0.921999990940094,26.301410675048828
phi-3.5-mini-int4,"HETERO:CPU,GPU,NPU",1024,1024,512,512,True,1297.0,16895.947265625,53.002410888671875,43981.01171875,43892.4765625,0.25699999928474426,0.6244199872016907,18.8670654296875
phi-3.5-mini-int4,CPU,2048,2044,512,512,True,672.0,31885.21484375,62.05754089355469,63597.453125,63525.49609375,0.2770000100135803,0.6407589912414551,16.114076614379883
phi-3.5-mini-int4,GPU,2048,2044,512,512,True,1696.0,1032.394287109375,32.590763092041016,17687.38671875,17542.86328125,0.28700000047683716,0.9314019680023193,30.68354034423828
phi-3.5-mini-int4,"HETERO:CPU,GPU,NPU",2048,2044,512,512,True,1297.0,31446.2734375,62.26482009887695,63264.390625,63185.96875,0.31700000166893005,0.5942670106887817,16.060434341430664
phi-3.5-mini-int4,CPU,4096,4084,512,512,True,672.0,68072.9296875,80.87771606445312,109402.234375,109325.5703125,0.3330000042915344,0.5853639841079712,12.36434555053711
phi-3.5-mini-int4,GPU,4096,4084,512,512,True,1671.0,2500.75341796875,39.8513298034668,22866.095703125,22571.595703125,0.33000001311302185,1.1411319971084595,25.093265533447266
phi-3.5-mini-int4,"HETERO:CPU,GPU,NPU",4096,4084,512,512,True,1291.0,67717.6640625,81.05094146728516,109135.5390625,109055.84375,0.3529999852180481,0.6283369660377502,12.337919235229492
phi-3.5-mini-int4,CPU,8192,8164,512,512,True,673.0,166229.890625,132.50225830078125,233939.28125,233836.375,0.4269999861717224,0.5588539838790894,7.547041416168213
phi-3.5-mini-int4,GPU,8192,8164,512,512,True,1705.0,6299.24169921875,54.1986198425293,33995.99609375,33673.36328125,0.4320000112056732,1.0707850456237793,18.450654983520508
phi-3.5-mini-int4,"HETERO:CPU,GPU,NPU",8192,8164,512,512,True,1297.0,166062.5625,132.71823120117188,233882.265625,233777.03125,0.45899999141693115,0.5135720372200012,7.534759998321533
qwen3-4b-fp16-ov,CPU,128,84,512,512,True,1291.0,6324.21630859375,148.78965759277344,82356.4765625,82160.1015625,0.3869999945163727,0.5375230312347412,6.720897197723389
qwen3-4b-fp16-ov,GPU,128,84,512,512,True,6596.0,214.1006317138672,109.16519165039062,55999.0234375,55755.640625,0.45500001311302185,1.3381739854812622,9.160429000854492
